cod	nome	clascli_codigo_1	clascli_codigo_2
5	MUNICÍPIO DE CONTAGEM 	11	12
106	SECRETARIA DE ESTADO DA SAÚDE	11	13
108	HOSPITAL MILITAR DE ÁREA DE CAMPO GRANDE 	11	14
121	MATERNIDADE CLIMERIO DE OLIVEIRA - UFBA	11	14
130	FUNDAÇÃO UNIVERSIDADE AMAZONAS - FUA / HUGV	11	13
131	HOSPITAL DE GUARNIÇÃO DE BAGE - HguBa	11	14
132	SECRETARIA MUNICIPAL DE SAÚDE - SMS	11	12
137	UNIVERSIDADE FEDERAL DE ALFENAS - UNIFAL MG	11	14
138	SECRETARIA MUNICIPAL DE SÃO LUIS - PMSL	11	12
139	CASA DE SAUDE SÃO FRANCISCO DE ASSIS	11	13
141	FUNDAÇAO DE APOIO AO ENSINO, PESQUISA E EXTENSÃO - FEPE	11	14
146	HOSPITAL NAVAL DE NATAL	11	14
148	SECRETARIA DO ESTADO DE SAÚDE/FMS PARANÁ	11	13
151	HOSPITAL INFANTIL NOSSA SENHORA DA GLORIA	11	13
152	FUNDAÇÃO UNIVERSIDADE FEDERAL DE UBERLANDIA	11	14
153	HOSP UNIV CASSIANO ANTÔNIO MORAES DA UNIV FED ES HUCAM/UFES	11	14
154	NUCLEO DO HOSPITAL DE FORCA AEREA DE SAO PAULO	11	14
158	FUNDAÇÃO HOSPITALAR GETÚLIO VARGAS	11	13
160	SECRETARIA DA SAÚDE DO ESTADO DO CEARÁ (SESA)	11	13
164	SECRETARIA DE ESTADO DA SAUDE	11	13
172	HOSP.NAVAL MARCÍLIO DIAS - HNMD	11	14
177	INST. DE INFECTOLOGIA EMILIO RIBAS-IIER/SES	11	13
179	HOSPITAL DE GUARNICAO DE FLORIANOPOLIS	11	14
182	COMANDO DA AERON. - GRUPAMENTO DE APOIO DA SAUDE/GAPS	11	14
183	CONJ. HOSPITALAR DE SOROCABA	11	12
189	SECRETARIA ESTADUAL DA SAÚDE-SESA/AP	11	13
193	UNIVERSIDADE FEDERAL DA FRONTEIRA SUL - UFFS	11	14
206	HOSP. GERAL DE CURITIBA - HGEC	11	12
217	SECRETARIA DE ESTADO DA SAUDE	11	13
223	HOSP. REGIONAL DR. VIVALDO MARTINS SIMOES	11	13
226	FUNDO ESTADUAL DE SAUDE	11	13
228	HOSPITAL UNIVERSITÁRIO JÚLIO MULLER - HUJM	11	14
229	HOSPITAL FEDERAL DE PELOTAS - HFP	11	14
230	SECRETARIA DE ESTADO DA SAÚDE DO MARANHÃO - SES	11	13
260	SESMA-SECRETARIA MUNICIPAL DE SAUDE 	11	12
262	PRONTO SOCORRO CARDIOLÓGICO UN. DE PERNAMBUCO PROF. LUIZ TAV	11	13
270	UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO	11	14
278	INSTITUTO EVANDRO CHAGAS	11	14
282	ESTADO DE RORAIMA 	11	13
289	HOSPITAL UNIVERSITARIO GETULIO VARGAS	11	14
292	FUNDO MUNICIPAL DE SAUDE DE LAJEDO	11	12
298	INST. FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO NORTE	11	14
300	NEUROSPINE COMERCIO DE MATERIAL MEDICO HOSPITALAR	10	10
303	GRUPAMENTO DE APOIO DE CAMPO GRANDE - GAP-CG 	11	14
305	UNIVERSIDADE FEDERAL DE VICOSA 	11	14
306	GRUPAMENTO DE APOIO DE NATAL 	11	14
313	HOSPITAL MILITAR DE RESENDE	11	14
314	COMANDO DO EXERCITO	11	14
319	DIRETORIA DE SAÚDE DA POLÍCIA	11	13
329	SECRETARIA DE ESTADO DA SAUDE	11	13
330	SECRETARIA DE ESTADO DA SAUDE	11	13
333	COMANDO DA AERONAUTICA	11	14
334	MUNICIPIO DE VILA RICA	11	12
339	PREFEITURA MUNICIPIO DE ITABIRA	11	12
350	HOSPITAL GERAL DE BELEM 	11	12
351	SECRETARIA DE ESTADO DA SAUDE DE TOCANTINS - SESAU	11	13
354	COMANDO DA AERONAUTICA	11	14
356	CONSORCIO INTERMUNICIPAL DO SUL DO ESTADO DE ALAGOAS - CONIS	11	13
360	UNIVERSIDADE FEDERAL DE SAO JOAO DEL-REI 	11	14
370	COMANDO DE FRONTEIRA - ACRE E 4 BATALHAO DE INFANTARIA DE SE	11	14
381	MINISTERIO DA SAUDE	11	14
382	38 BATALHAO DE INFANTARIA	11	14
384	UNIVERSIDADE FEDERAL DO OESTE DA BAHIA	11	14
385	COMANDO DA AERONAUTICA	11	14
398	SECRETARIA DE ESTADO DA SAUDE	11	13
408	FUNDO MUNICIPAL DE SAUDE	11	12
429	SECRETARIA DE ESTADO DA SAUDE	11	13
430	FUNDACAO UNIVERSIDADE FEDERAL DO ACRE 	11	14
439	RIO GRANDE DO NORTE SECRETARIA DA SAUDE PUBLICA	11	13
442	PRESIDENCIA DA REPUBLICA 	11	14
454	UNIVERSIDADE FEDERAL DA BAHIA	11	14
469	MUNICIPIO DE UBERABA	11	12
476	COMANDO DA 4ª REGIAO MILITAR	11	14
491	INSTITUICAO DE COOPERACAO INTERMUNICIPAL DO MEDIO PARAOPEBA	11	12
574	COMANDO DA AERONAUTICA	11	14
613	FUNDO  MUNICIPAL  DE  SAUDE DE  MARABA	11	12
629	HOSPITAL PRONTO SOCORRO DE SAO LUIS	11	12
641	MINISTERIO DA SAUDE	11	14
